//VHS File Media
// HVHS == Home VHS || RVHS == Retail VHS
// Dr. Kevorkian Deposition: Learn Suicide Drink Recipe
RM_KEVORKIA-HVHS-0001-META-000000000001 = "Bootleg: The Kevorkian Verdict"
RM_KEVORKIA-RVHS-0001-META-000000000001 = "VHS: The Kevorkian Verdict"
RM_KEVORKIA-RVHS-0001-META-000000000002 = "Dr. Kevorkian discussing assisted suicide"
RM_KEVORKIA-RVHS-0001-META-000000000003 = "Recorded October 22, 1991"
RM_KEVORKIA-RVHS-0001-META-000000000004 = "PBS Frontline"
RM_KEVORKIA-RVHS-0001-LINE-K00000000001 = "What is it you want? Put it in plain language"
RM_KEVORKIA-RVHS-0001-LINE-M00000000002 = "I want to die."
RM_KEVORKIA-RVHS-0001-LINE-K00000000003 = "That's as plain as you can put it?"
RM_KEVORKIA-RVHS-0001-LINE-M00000000004 = "Yes, and I know there's no turning back"
RM_KEVORKIA-RVHS-0001-LINE-K00000000005 = "If you drink this, you will die. Do you understand?"
RM_KEVORKIA-RVHS-0001-LINE-M00000000006 = "I do. I Understand. I'm listening"
RM_KEVORKIA-RVHS-0001-LINE-K00000000007 = "First the alcohol will relax your body"
RM_KEVORKIA-RVHS-0001-LINE-K00000000008 = "and then the sedatives will put you in a deep slumber."
RM_KEVORKIA-RVHS-0001-LINE-K00000000009 = "Shortly there after the painkillers will activate"
RM_KEVORKIA-RVHS-0001-LINE-K00000000010 = "and you will go into respiratory depression."
RM_KEVORKIA-RVHS-0001-LINE-K00000000011 = "Once this happens, you you will die in a matter of minutes."
RM_KEVORKIA-RVHS-0001-LINE-K00000000012 = "Do you understand this?"
RM_KEVORKIA-RVHS-0001-LINE-M00000000013 = "I do. I want to die."
RM_KEVORKIA-RVHS-0001-LINE-M00000000014 = "There's no turning back once you drink this"
